Time(s),T1(DegC),Wall Temp(DegC),Top Plate(DegC),Bottom Plate(DegC),P1(PSI),P2(PSI),Mass Flowrate(g/min),Heater Energy (kJ)
0,26.3,25.5,26.1,25.6,0.3,0.8,0,0
0.1,26.3,25.5,26.1,25.6,0,1,0,0
0.2,26.2,25.4,25.9,25.6,0.3,0.8,0,0
0.3,26.2,25.3,26,25.6,0.2,1,0,0
0.4,26.2,25.3,26,25.6,0.2,1.1,0,0
0.5,26.3,25.5,26,25.7,0.3,0.5,0,0
0.6,26.4,25.4,26,25.6,0.3,0.5,0,0
0.7,26.4,25.4,26,25.6,0.5,1.3,0,0
0.8,26.1,25.4,25.8,25.4,0.5,0.7,0,0
0.9,26.2,25.4,26,25.6,0.3,1,0,0
1,26.2,25.4,26,25.6,0.5,1.1,0,0
1.1,26.3,25.4,26,25.6,-0.1,0.8,0,0
1.2,26.3,25.6,25.9,25.6,0.8,0.7,0,0
1.3,26.3,25.6,25.9,25.6,0.2,1,0,0
1.4,26.4,25.5,26,25.6,0.2,0.8,0,0
1.5,26.4,25.5,26.1,25.7,0.2,0.8,0,0
1.6,26.4,25.5,26.1,25.7,0.3,0.7,0,0
1.7,26.3,25.4,26,25.6,1.6,0.5,0,0
1.8,26.3,25.6,26.1,25.7,0.3,0.8,0,0
1.9,26.3,25.6,26.1,25.7,0.2,1,0,0
2,26.3,25.6,26.1,25.6,0.7,1.1,0,0
2.1,26.3,25.4,26,25.5,0.7,1.1,0,0
2.2,26.3,25.4,26,25.5,0.2,1.3,0,0
2.3,26.4,25.3,26,25.6,0.5,0.8,0,0
2.4,26.2,25.4,25.9,25.5,0.3,0.8,0,0
2.5,26.2,25.4,25.9,25.5,0.3,0.8,0,0
2.6,28.4,25.5,26.1,25.6,5.1,1.9,0,0
2.7,28.4,25.5,26.1,25.6,9.4,1.1,0,0
2.8,31.9,25.4,26,25.6,11.1,1.7,0,0
2.9,34.2,25.5,26,25.6,13.9,1,0,0
3,34.2,25.5,26,25.6,14.4,1.4,0,0
3.1,35,25.5,25.9,25.6,15.9,1.3,0,0
3.2,35,25.5,25.9,25.6,17.4,1.1,0,0
3.3,35.5,25.4,26,25.4,18.7,1,0,0
3.4,35.6,25.4,25.9,25.5,19.6,1.3,0,0
3.5,35.3,25.4,25.9,25.5,22.4,1.6,0,0
3.6,35.3,25.4,25.9,25.5,22.4,1.6,0,0
3.7,35.1,25.4,26,25.6,23.9,1.4,0,0
3.8,35.1,25.4,26,25.6,25,1.3,0,0
3.9,34.9,25.5,26.1,25.6,25.9,1.4,0,0
4,34.7,25.5,26.1,25.7,26.8,1.3,0,0
4.1,34.7,25.5,26.1,25.7,27.3,0.8,-0.02,0
4.2,34.6,25.6,26.1,25.8,29.4,1.1,0.15,0
4.3,34.6,25.6,26.1,25.8,30.4,1.7,0.06,0
4.4,34,25.4,26,25.7,30.4,1.7,0.18,0
4.5,33.5,25.5,26,25.7,31.6,1.7,0.19,0
4.6,33.5,25.5,26,25.7,31.6,1.7,0.27,0
4.7,33.1,25.4,26,25.6,32.7,2.2,0.34,0
4.8,32.8,25.5,26,25.6,33.3,1.4,7.77,0
4.9,32.8,25.5,26,25.6,34,0.8,21.64,0
5,32.6,25.5,26,25.6,34.4,1.4,25.43,0
5.1,32.3,25.5,26,25.6,34.7,1.3,28.53,0
5.2,32.3,25.5,26,25.6,35.3,1.4,29.52,0
5.3,32.2,25.5,26.1,25.7,36.2,1.4,30.67,0
5.4,31.8,25.4,25.9,25.7,36.2,1.4,30.45,0
5.5,31.8,25.4,25.9,25.7,36.8,1.6,30.05,0
5.6,31.5,25.5,26,25.7,37.4,1.4,30,0
5.7,31.5,25.5,26,25.7,37.6,1.3,29.66,0
5.8,31.4,25.5,26,25.6,36,1.4,27.82,0
5.9,31.1,25.5,26.1,25.7,31.4,1.4,28.77,0
6,29.8,25.5,26,25.7,29.4,1.3,8.28,0
6.1,29.8,25.5,26,25.7,28.4,1.6,4.37,0
6.2,28.1,25.5,26.1,25.7,26.5,1.4,3.4,0
6.3,26.1,25.5,26,25.6,25,1.1,2.96,0
6.4,26.1,25.5,26,25.6,25,1.1,2.77,0
6.5,24.2,25.4,26,25.5,20.5,1.4,2.62,0
6.6,24.2,25.4,26,25.5,19.1,1.1,2.49,0
6.7,22.4,25.4,25.9,25.6,17.7,1.4,2.36,0
6.8,20.8,25.5,26,25.5,17,1,2.29,0
6.9,20.8,25.5,26,25.5,15.1,0.8,2.23,0
7,19.1,25.5,26,25.7,14.2,1.6,2.19,0
7.1,17.7,25.4,25.9,25.6,13.9,1.7,2.13,0
7.2,17.7,25.4,25.9,25.6,12.8,1.6,2.1,0
7.3,16.7,25.4,26,25.5,12.8,1.6,2.13,0
7.4,15.5,25.4,26,25.6,11.1,1,2.06,0
7.5,15.5,25.4,26,25.6,9.6,1.7,2.06,0
7.6,14.5,25.5,26,25.5,9.1,1.3,2.06,0
7.7,14.5,25.5,26,25.5,8.2,1.3,2.02,0
7.8,13.6,25.5,26.1,25.5,8,1.3,2.04,0
7.9,13,25.5,26.1,25.6,5.1,1.4,1.97,0
8,13,25.5,26.1,25.6,5.6,1.1,2.02,0
8.1,12.6,25.6,26,25.5,6.5,1.6,1.97,0
8.2,12.6,25.6,26,25.5,5.4,1.6,1.97,0
8.3,12.2,25.4,26.1,25.6,5.4,1.6,1.93,0
8.4,11.7,25.4,25.9,25.5,4.5,1.1,1.93,0
8.5,11.7,25.4,25.9,25.5,5.3,1,1.97,0
8.6,11.4,25.6,26.1,25.5,3.6,1.4,1.93,0
8.7,11.3,25.4,26,25.5,3.4,1.3,1.93,0
8.8,11.3,25.4,26,25.5,3.4,1.3,1.97,0
8.9,11.1,25.5,26,25.5,2.8,1.4,1.93,0
9,11.5,25.5,26,25.6,2.3,1.4,1.93,0
9.1,11.5,25.5,26,25.6,2.2,1.4,1.92,0
9.2,11.4,25.4,25.9,25.5,2.2,1.4,1.95,0
9.3,11.4,25.4,25.9,25.5,2,1.3,1.97,0
9.4,12,25.4,26,25.5,1.9,1.4,1.93,0
9.5,12,25.4,25.9,25.5,1.6,1.1,1.92,0
9.6,12,25.4,25.9,25.5,1.3,1.1,1.92,0
9.7,12.3,25.5,25.9,25.5,1,1.1,1.92,0
9.8,12.7,25.5,26,25.5,0.8,1.6,1.91,0
9.9,12.7,25.5,26,25.5,0.8,2.2,1.95,0
10,13.2,25.5,26,25.5,0.3,1.4,1.91,0
10.1,13.6,25.4,26,25.6,1.1,1.4,1.91,0
10.2,13.6,25.4,26,25.6,1.1,1.4,1.91,0
10.3,13.9,25.4,26,25.6,0.5,1,1.89,0
10.4,14.6,25.5,26,25.4,0.8,1,1.92,0
10.5,14.6,25.5,26,25.4,0.3,1.4,1.92,0
10.6,15,25.5,25.9,25.6,0.5,1.4,1.87,0
10.7,15.7,25.4,26,25.6,0.3,1,1.89,0
10.8,15.7,25.4,26,25.6,0.2,1.6,1.93,0
10.9,16.2,25.5,26,25.6,0.2,1.3,1.93,0
11,16.2,25.5,26,25.6,0.3,1.7,1.93,0
11.1,16.6,25.3,25.9,25.5,0.3,1.6,1.91,0
11.2,17.1,25.6,26.1,25.6,0.3,1.6,1.91,0
11.3,17.1,25.6,26.1,25.6,-0.6,1.1,1.93,0
11.4,17.7,25.4,26,25.7,-0.1,1.4,1.91,0
11.5,18.2,25.5,26,25.6,0.3,0.7,1.91,0
11.6,18.2,25.5,26,25.6,0.2,1.4,1.91,0
11.7,18.7,25.5,26,25.6,0.5,1.4,1.91,0
11.8,19,25.4,26.1,25.7,0,1.3,1.91,0
11.9,19,25.4,26.1,25.7,0.5,1,1.91,0
12,19.3,25.5,26,25.4,0.5,1.1,1.94,0
12.1,19.9,25.5,26,25.7,0.5,1.1,1.93,0
12.2,19.9,25.5,26,25.7,0.8,1.3,1.89,0
12.3,20.3,25.5,26.1,25.6,0.7,1.1,1.94,0
12.4,20.6,25.5,26,25.7,-0.1,1.3,1.91,0
12.5,20.6,25.5,26,25.7,0.7,1.6,1.93,0
12.6,21,25.4,25.9,25.6,0.2,1.3,1.93,0
12.7,21.2,25.6,26,25.6,0.8,1.1,1.93,0
12.8,21.2,25.6,26,25.6,0.5,1,1.91,0
12.9,21.5,25.4,26,25.6,-0.1,1.3,1.91,0
13,21.8,25.5,26,25.6,-0.1,1.3,1.93,0
13.1,21.8,25.5,26,25.6,-0.6,1.6,1.91,0
13.2,22.1,25.4,26,25.6,0.8,1.1,1.93,0
13.3,22.1,25.4,26,25.6,0.3,1.3,1.89,0
13.4,22.3,25.5,26,25.7,0,1.3,1.87,0
13.5,22.5,25.6,26,25.6,0,1.6,1.91,0
13.6,22.5,25.6,26,25.6,0.7,0.3,1.94,0
13.7,22.7,25.5,26,25.6,0,1.3,1.91,0
13.8,22.8,25.4,25.8,25.5,0.3,1.1,1.93,0
13.9,22.8,25.4,25.8,25.5,0.5,1.3,1.89,0
14,23.1,25.5,26,25.7,0.5,1.3,1.93,0
14.1,23.3,25.6,26,25.6,0.5,1.1,1.89,0
14.2,23.3,25.6,26,25.6,0.3,1.6,1.93,0
14.3,23.4,25.5,26,25.6,0.3,1.3,1.91,0
14.4,23.5,25.5,26,25.6,0.5,1.6,1.93,0
14.5,23.5,25.5,26,25.6,0.3,1.4,1.91,0
14.6,23.7,25.5,26,25.6,0.7,1.7,1.93,0
14.7,23.6,25.4,25.9,25.6,0.7,1.7,1.87,0
14.8,23.6,25.4,25.9,25.6,0.5,1.1,1.93,0
14.9,23.9,25.4,25.9,25.6,0.5,1.1,1.89,0
15,23.9,25.4,25.9,25.6,0.7,0.5,1.87,0
15.1,24,25.5,26,25.6,0.2,1.1,1.89,0
15.2,24,25.5,26,25.6,0.2,1.1,1.91,0
15.3,24,25.5,26,25.6,0.2,1.4,1.91,0
15.4,24.2,25.6,26.1,25.6,0.2,1.3,1.93,0
15.5,24.2,25.5,26.1,25.6,0.3,1.4,1.87,0
15.6,24.2,25.5,26.1,25.6,0.5,1.4,1.91,0
15.7,24.4,25.5,26.1,25.6,1.1,1.4,1.93,0
15.8,24.4,25.6,26,25.7,1.1,1.4,1.89,0
15.9,24.4,25.6,26,25.7,1,1.1,1.93,0
16,24.5,25.5,26.1,25.7,0.2,1,1.89,0
16.1,24.6,25.5,26.1,25.6,0.2,1.4,1.91,0
16.2,24.6,25.5,26.1,25.6,0.5,1.4,1.91,0
16.3,24.6,25.6,26.1,25.7,0.8,1.4,1.93,0
16.4,24.6,25.5,26,25.6,0,1.6,1.91,0
16.5,24.6,25.5,26,25.6,0.5,1.3,1.89,0
16.6,24.6,25.4,26,25.6,0.7,1.3,1.89,0
16.7,24.7,25.4,26,25.6,0.7,1.3,1.89,0
16.8,24.7,25.4,26,25.6,0.5,1,1.87,0
16.9,24.7,25.4,26.1,25.6,0.2,1.1,1.87,0
17,24.7,25.4,26.1,25.6,0,0.8,1.89,0
17.1,24.7,25.4,26,25.6,-0.1,1.3,1.87,0
17.2,24.8,25.4,25.9,25.5,-0.1,1.3,1.89,0
17.3,24.8,25.4,25.9,25.5,0.3,1,1.91,0
17.4,24.9,25.4,26,25.6,-0.4,1.3,1.87,0
17.5,24.8,25.6,26,25.6,0,1.1,1.91,0
17.6,24.8,25.6,26,25.6,0,1,1.89,0
17.7,24.8,25.4,25.9,25.5,0,1,1.91,0
17.8,24.8,25.4,25.9,25.5,0.2,1.3,1.91,0
17.9,24.8,25.4,25.9,25.6,-2.1,1.4,1.91,0
18,24.9,25.4,25.9,25.6,0.5,1.4,1.87,0
18.1,24.9,25.4,25.9,25.6,0.2,1.6,1.87,0
18.2,24.9,25.5,26,25.6,-0.3,1.4,1.89,0
18.3,25,25.6,26,25.6,0,1.6,1.87,0
18.4,25,25.6,26,25.6,0.5,0.2,1.86,0
18.5,25,25.4,26,25.6,0.8,1,1.91,0
18.6,25,25.5,26,25.8,0.8,1,1.91,0
18.7,25,25.5,26,25.8,0,1.3,1.91,0
18.8,24.9,25.3,25.9,25.5,0.5,1.4,1.91,0
18.9,25,25.4,26.1,25.7,0.3,1.1,1.87,0
19,25,25.4,26.1,25.7,0.2,1.4,1.87,0
19.1,25.2,25.5,26,25.7,0.3,1.1,1.87,0
19.2,25,25.5,26,25.6,0,1.6,1.89,0
19.3,25,25.5,26,25.6,0.7,1.1,1.87,0
19.4,25.1,25.5,26,25.7,0.2,1,1.91,0
19.5,25.2,25.5,25.9,25.6,0.2,1,1.93,0
