Time(s),T1(DegC),Wall Temp(DegC),Top Plate(DegC),Bottom Plate(DegC),P1(PSI),P2(PSI),Mass Flowrate(g/min),Heater Energy (kJ)
0.00,39.50,38.30,35.00,31.50,0.80,2.20,0.00,0.00
0.10,39.50,38.20,35.00,31.30,0.80,2.80,0.00,0.00
0.20,39.50,38.20,35.00,31.30,0.50,2.00,0.00,0.00
0.30,39.50,38.20,35.00,31.30,0.70,2.40,0.00,0.00
0.40,39.50,38.00,34.90,31.10,0.70,2.40,0.00,0.00
0.50,39.40,37.90,34.80,31.20,0.80,2.40,0.00,0.00
0.60,39.40,37.90,34.80,31.20,1.00,2.20,0.00,0.00
0.70,39.50,38.20,34.90,31.30,1.00,2.20,0.00,0.00
0.80,39.50,38.10,34.90,31.30,-1.30,2.70,0.00,0.00
0.90,39.50,38.10,34.90,31.30,1.10,2.50,0.00,0.00
1.00,39.50,38.10,35.00,31.20,0.50,2.20,0.00,0.00
1.10,39.50,38.20,35.00,31.20,1.00,2.40,0.00,0.00
1.20,39.50,38.20,35.00,31.20,0.50,2.20,0.00,0.00
1.30,39.40,38.20,34.90,31.40,0.80,2.40,0.00,0.00
1.40,39.50,38.10,35.00,31.20,0.70,3.40,0.00,0.00
1.50,39.50,38.10,35.00,31.20,0.80,2.20,0.00,0.00
1.60,39.50,38.20,35.00,31.30,0.80,2.20,0.00,0.00
1.70,39.50,38.20,35.00,31.30,0.70,1.90,0.00,0.00
1.80,39.50,38.20,34.90,31.20,0.70,2.00,0.00,0.00
1.90,39.40,38.10,34.90,31.30,1.00,2.20,0.00,0.00
2.00,39.40,38.10,34.90,31.30,1.00,2.40,0.00,0.00
2.10,39.60,38.30,35.00,31.30,1.10,2.20,0.00,0.00
2.20,39.40,38.20,34.90,31.20,0.30,1.90,0.00,0.00
2.30,39.40,38.20,34.90,31.20,0.70,2.80,0.00,0.00
2.40,39.50,38.20,34.90,31.20,1.00,2.00,0.00,0.00
2.50,39.50,38.20,35.00,31.30,1.00,2.00,0.00,0.00
2.60,39.50,38.20,35.00,31.30,0.20,2.70,0.00,0.00
2.70,39.30,38.10,34.90,31.20,0.80,2.20,0.00,0.00
2.80,39.30,38.10,34.90,31.20,0.80,2.40,0.00,0.00
2.90,39.50,38.20,34.90,31.30,1.10,2.00,0.00,0.00
3.00,39.50,38.20,34.90,31.30,1.00,2.40,0.00,0.00
3.10,39.50,38.20,34.90,31.30,1.00,2.70,0.00,0.00
3.20,39.60,38.30,35.10,31.30,1.00,2.00,0.00,0.00
3.30,39.50,38.20,34.90,31.30,1.10,2.20,0.00,0.00
3.40,39.50,38.20,34.90,31.30,1.00,2.00,0.00,0.00
3.50,39.40,38.10,35.00,31.30,1.00,2.00,0.00,0.00
3.60,39.50,38.30,34.90,31.40,1.10,2.40,0.00,0.00
3.70,39.50,38.30,34.90,31.40,1.10,2.40,0.00,0.00
3.80,39.40,38.20,34.90,31.40,0.70,2.00,0.00,0.00
3.90,39.40,38.20,34.90,31.40,0.70,2.20,0.00,0.00
4.00,39.40,38.00,34.80,31.20,0.80,2.40,0.00,0.00
4.10,39.40,38.00,34.80,31.20,0.50,2.00,0.00,0.00
4.20,39.50,38.30,35.00,31.30,0.80,2.70,0.00,0.00
4.30,39.60,38.20,34.90,31.30,1.10,2.40,0.00,0.00
4.40,39.60,38.20,34.90,31.30,1.10,2.80,0.00,0.00
4.50,39.50,38.10,35.00,31.30,1.10,2.80,0.00,0.00
4.60,39.50,38.30,35.00,31.40,1.00,2.00,0.00,0.00
4.70,39.50,38.30,35.00,31.40,1.00,2.50,0.00,0.00
4.80,39.60,38.20,35.00,31.40,0.50,1.60,0.00,0.00
4.90,39.40,38.00,34.80,31.20,0.80,2.40,0.00,0.00
5.00,39.40,38.00,34.80,31.20,1.00,2.20,0.00,0.00
5.10,39.60,38.20,34.90,31.30,0.70,2.20,0.00,0.00
5.20,39.40,38.20,34.90,31.20,0.50,2.20,0.00,0.00
