Time(s),T1(DegC),Wall Temp(DegC),Top Plate(DegC),Bottom Plate(DegC),P1(PSI),P2(PSI),Mass Flowrate(g/min),Heater Energy (kJ)
0.00,34.50,36.50,34.80,31.30,0.80,3.40,0.00,0.00
0.10,34.50,36.40,34.50,31.30,0.50,1.60,0.00,0.00
0.20,34.50,36.40,34.50,31.30,0.70,2.50,0.00,0.00
0.30,34.50,36.30,34.50,31.30,0.30,2.70,0.00,0.00
0.40,34.60,36.30,34.60,31.30,0.50,2.80,0.00,0.00
0.50,34.60,36.30,34.60,31.30,0.30,1.70,0.00,0.00
0.60,34.50,36.40,34.50,31.30,0.50,2.70,0.00,0.00
0.70,34.50,36.40,34.70,31.30,0.50,2.70,0.00,0.00
0.80,34.50,36.40,34.70,31.30,0.70,1.90,0.00,0.00
0.90,34.60,36.30,34.40,31.20,0.70,2.70,0.00,0.00
1.00,34.60,36.30,34.60,31.30,0.20,2.70,0.00,0.00
1.10,34.60,36.30,34.60,31.30,1.10,2.80,0.00,0.00
1.20,34.60,36.30,34.60,31.30,0.20,2.20,0.00,0.00
1.30,34.60,36.30,34.60,31.30,0.30,2.80,0.00,0.00
1.40,34.70,36.30,34.50,31.30,0.70,2.70,0.00,0.00
1.50,34.80,36.40,34.60,31.40,1.00,2.20,0.00,0.00
1.60,34.80,36.40,34.60,31.40,0.80,1.90,0.00,0.00
1.70,34.60,36.30,34.60,31.40,0.80,1.90,0.00,0.00
1.80,34.80,36.30,34.70,31.40,0.70,2.50,0.00,0.00
1.90,34.80,36.30,34.70,31.40,0.80,2.70,0.00,0.00
2.00,34.80,36.40,34.50,31.40,0.30,2.70,0.00,0.00
2.10,34.80,36.40,34.50,31.40,0.80,-0.10,0.00,0.00
2.20,34.70,36.30,34.60,31.40,1.90,2.00,0.00,0.00
2.30,34.70,36.30,34.60,31.40,0.30,2.40,0.00,0.00
2.40,34.60,36.30,34.60,31.40,0.80,2.80,0.00,0.00
2.50,34.60,36.30,34.60,31.40,0.80,2.50,0.00,0.00
2.60,34.80,36.30,34.70,31.30,0.80,2.50,0.00,0.00
2.70,34.70,36.30,34.50,31.30,0.70,2.50,0.00,0.00
2.80,34.70,36.30,34.50,31.30,0.50,2.00,0.00,0.00
2.90,34.70,36.20,34.50,31.20,0.50,2.20,0.00,0.00
3.00,34.90,36.30,34.60,31.50,-1.00,2.50,0.00,0.00
3.10,34.90,36.30,34.60,31.50,0.20,2.70,0.00,0.00
3.20,34.80,36.20,34.50,31.30,0.70,2.50,0.00,0.00
3.30,34.80,36.20,34.50,31.30,1.10,2.00,0.00,0.00
3.40,34.80,36.30,34.60,31.20,0.50,2.40,0.00,0.00
3.50,34.90,36.50,34.60,31.40,-1.20,2.50,0.00,0.00
3.60,34.90,36.50,34.60,31.40,-1.20,2.50,0.00,0.00
3.70,34.90,36.30,34.60,31.30,1.00,2.70,0.00,0.00
3.80,35.00,36.30,34.50,31.30,1.00,2.70,0.00,0.00
3.90,35.00,36.30,34.50,31.30,0.80,2.40,0.00,0.00
4.00,34.90,36.40,34.60,31.30,-1.20,2.20,0.00,0.00
4.10,34.90,36.30,34.60,31.30,0.70,2.70,0.00,0.00
4.20,34.90,36.30,34.60,31.30,0.70,1.90,0.00,0.00
4.30,34.90,36.40,34.60,31.50,0.20,2.00,0.00,0.00
4.40,34.90,36.40,34.60,31.50,0.50,2.40,0.00,0.00
4.50,34.90,36.50,34.60,31.40,0.50,2.40,0.00,0.00
4.60,35.00,36.40,34.60,31.40,0.80,2.00,0.00,0.00
4.70,35.00,36.40,34.60,31.40,-0.30,2.40,0.00,0.00
4.80,34.90,36.20,34.50,31.20,0.80,2.20,0.00,0.00
4.90,34.90,36.20,34.50,31.20,0.50,2.00,0.00,0.00
5.00,34.90,36.30,34.60,31.30,0.70,1.90,0.00,0.00
5.10,35.00,36.30,34.60,31.40,1.10,2.40,0.00,0.00
5.20,35.00,36.30,34.60,31.40,0.80,2.80,0.00,0.00
5.30,35.00,36.30,34.60,31.30,0.30,2.70,0.00,0.00
5.40,34.90,36.40,34.50,31.40,0.70,2.00,0.00,0.00
5.50,34.90,36.40,34.50,31.40,0.70,2.00,0.00,0.00
5.60,35.00,36.30,34.60,31.40,1.00,2.20,0.00,0.00
5.70,34.90,36.30,34.40,31.10,0.30,2.20,0.00,0.00
5.80,34.90,36.30,34.40,31.10,1.30,2.40,0.00,0.00
5.90,35.00,36.30,34.60,31.40,0.30,2.50,0.00,0.00
6.00,35.00,36.40,34.50,31.40,0.80,2.40,0.00,0.00
6.10,35.00,36.40,34.50,31.40,0.30,2.20,0.00,0.00
6.20,35.20,36.30,34.60,31.30,0.50,2.40,0.00,0.00
6.30,34.90,36.10,34.40,31.20,0.50,2.50,0.00,0.00
6.40,34.90,36.10,34.40,31.20,1.10,2.50,0.00,0.00
6.50,35.20,36.40,34.70,31.40,1.10,2.50,0.00,0.00
6.60,35.10,36.30,34.60,31.30,0.70,2.50,0.00,0.00
6.70,35.10,36.30,34.60,31.30,0.30,2.70,0.00,0.00
6.80,35.10,36.40,34.60,31.40,1.10,1.90,0.00,0.00
6.90,35.10,36.40,34.60,31.40,0.70,2.20,0.00,0.00
7.00,35.20,36.30,34.60,31.40,0.70,3.10,0.00,0.00
7.10,35.10,36.20,34.50,31.30,0.30,2.50,0.00,0.00
7.20,35.10,36.20,34.50,31.30,0.80,2.40,0.00,0.00
7.30,35.20,36.30,34.60,31.30,1.00,2.20,0.00,0.00
7.40,35.00,36.20,34.50,31.40,0.80,2.00,0.00,0.00
7.50,35.00,36.20,34.50,31.40,0.80,2.00,0.00,0.00
7.60,35.20,36.20,34.50,31.30,0.70,2.00,0.00,0.00
7.70,35.10,36.20,34.50,31.30,0.80,2.40,0.00,0.00
7.80,35.10,36.20,34.50,31.30,0.80,2.20,0.00,0.00
7.90,35.20,36.20,34.70,31.30,0.80,2.80,0.00,0.00
8.00,35.20,36.30,34.60,31.40,1.00,2.20,0.00,0.00
8.10,35.20,36.30,34.60,31.40,0.50,2.20,0.00,0.00
8.20,35.10,36.20,34.60,31.30,0.80,1.90,0.00,0.00
8.30,35.20,36.20,34.60,31.30,0.80,2.00,0.00,0.00
8.40,35.20,36.20,34.60,31.30,0.50,2.50,0.00,0.00
8.50,35.10,36.20,34.60,31.30,0.50,2.50,-0.02,0.00
8.60,35.20,36.20,34.50,31.40,0.70,2.70,-0.02,0.00
8.70,35.20,36.20,34.50,31.40,0.50,1.90,0.00,0.00
8.80,35.30,36.20,34.50,31.40,1.00,2.00,0.02,0.00
8.90,35.20,36.30,34.60,31.30,0.80,2.40,0.02,0.00
9.00,35.20,36.30,34.60,31.30,0.80,2.20,0.98,0.00
9.10,35.20,36.30,34.70,31.30,0.80,2.40,4.90,0.00
9.20,35.20,36.30,34.70,31.30,0.50,2.70,0.41,0.00
9.30,35.20,36.20,34.60,31.40,1.00,2.40,0.38,0.00
9.40,35.20,36.10,34.40,31.20,1.00,2.40,-3.02,0.00
9.50,35.20,36.10,34.40,31.20,1.10,2.80,-2.78,0.00
9.60,35.30,36.10,34.40,31.00,1.00,2.00,-1.57,0.00
9.70,33.70,36.20,34.60,31.20,0.50,2.40,-0.44,0.00
9.80,33.70,36.20,34.60,31.20,4.20,2.70,75.78,0.00
9.90,35.20,36.40,34.70,31.40,3.70,3.00,15.47,0.00
10.00,36.10,36.30,34.60,31.40,3.70,2.70,0.98,0.00
10.10,36.10,36.30,34.60,31.40,4.00,2.50,0.49,0.00
10.20,36.30,36.20,34.60,31.20,3.40,2.50,6.36,0.00
10.30,36.80,36.30,34.60,31.50,3.40,2.50,29.99,0.00
10.40,36.80,36.30,34.60,31.50,1.70,2.70,39.96,0.00
10.50,37.10,36.30,34.50,31.30,4.30,2.70,45.45,0.00
10.60,37.30,36.30,34.50,31.30,4.30,2.00,48.53,0.00
10.70,37.30,36.30,34.50,31.30,4.80,1.10,50.40,0.00
10.80,37.60,36.30,34.60,31.30,5.30,2.50,51.67,0.00
10.90,38.00,36.40,34.70,31.40,4.80,2.50,52.14,0.00
11.00,38.00,36.40,34.70,31.40,5.00,2.80,52.04,0.00
11.10,38.20,36.30,34.70,31.40,5.10,2.70,51.91,0.00
11.20,38.20,36.30,34.70,31.40,5.60,3.30,51.84,0.00
11.30,38.30,36.30,34.60,31.30,5.60,3.30,51.72,0.00
11.40,38.70,36.30,34.60,31.30,6.20,2.70,51.65,0.00
11.50,38.70,36.30,34.60,31.30,5.60,2.80,51.56,0.00
11.60,38.90,36.40,34.80,31.50,3.70,2.80,51.44,0.00
11.70,38.90,36.30,34.60,31.30,6.70,2.70,51.46,0.00
11.80,38.90,36.30,34.60,31.30,6.20,2.70,51.44,0.00
11.90,38.70,36.40,34.70,31.40,6.50,2.40,51.37,0.00
12.00,39.10,36.30,34.60,31.30,6.70,2.50,51.22,0.00
12.10,39.10,36.30,34.60,31.30,7.30,3.00,51.21,0.00
12.20,39.20,36.30,34.70,31.40,7.30,3.00,51.09,0.00
12.30,39.20,36.30,34.70,31.40,7.30,2.50,51.02,0.00
12.40,39.20,36.30,34.60,31.40,7.00,2.50,51.02,0.00
12.50,39.10,36.20,34.70,31.30,7.40,2.80,50.99,0.00
12.60,39.10,36.20,34.70,31.30,7.30,2.50,50.95,0.00
12.70,39.20,36.30,34.60,31.30,7.60,2.80,50.85,0.00
12.80,39.40,36.30,34.50,31.30,7.90,2.50,50.78,0.00
12.90,39.40,36.30,34.50,31.30,7.90,2.50,50.77,0.00
13.00,39.50,36.40,34.60,31.40,8.50,3.00,50.69,0.00
13.10,39.60,36.40,34.60,31.30,8.50,3.00,50.62,0.00
13.20,39.60,36.40,34.60,31.30,8.70,2.80,50.52,0.00
13.30,39.60,36.30,34.50,31.40,8.50,3.00,50.44,0.00
13.40,39.80,36.40,34.70,31.40,8.80,2.80,50.44,0.00
13.50,39.80,36.40,34.70,31.40,9.00,2.40,50.39,0.00
13.60,39.80,36.30,34.60,31.20,9.00,2.40,50.31,0.00
13.70,39.90,36.30,34.60,31.30,9.10,2.70,50.15,0.00
