Time(s),T1(DegC),Wall Temp(DegC),Top Plate(DegC),Bottom Plate(DegC),P1(PSI),P2(PSI),Mass Flowrate(g/min),Heater Energy (kJ)
0.00,38.30,31.90,29.20,26.90,6.50,1.60,49.53,0.00
0.10,38.60,31.90,29.20,27.00,6.80,2.50,49.38,0.00
0.20,38.50,31.80,29.10,26.90,6.80,3.00,49.29,0.00
0.30,38.50,31.80,29.10,26.90,7.00,1.90,49.15,0.00
0.40,38.70,31.90,29.30,27.10,7.70,2.00,49.06,0.00
0.50,39.10,31.90,29.20,27.10,8.70,1.90,48.95,0.00
0.60,39.10,31.90,29.20,27.10,7.90,2.40,48.89,0.00
0.70,39.20,32.10,29.30,27.10,7.70,2.00,48.80,0.00
0.80,39.20,32.00,29.20,27.10,7.70,2.50,48.72,0.00
0.90,39.20,32.00,29.20,27.10,7.70,2.50,50.21,0.00
1.00,39.20,31.90,29.20,27.00,7.90,2.20,50.96,0.00
1.10,39.50,31.90,29.20,27.10,8.00,2.20,50.94,0.00
1.20,39.50,31.90,29.20,27.10,8.80,2.00,50.88,0.00
1.30,39.40,31.80,29.10,27.00,8.80,3.40,50.76,0.00
1.40,39.40,31.90,29.30,27.20,8.70,2.40,50.72,0.00
1.50,39.40,31.90,29.30,27.20,9.00,2.00,50.65,0.00
1.60,39.30,31.80,29.10,26.90,9.30,2.40,50.57,0.00
1.70,39.40,31.80,29.20,26.90,10.00,2.50,50.49,0.00
1.80,39.40,31.80,29.20,26.90,9.60,2.40,50.45,0.00
1.90,39.70,31.80,29.20,27.00,9.60,2.40,50.33,0.00
2.00,39.80,32.00,29.20,27.00,10.00,2.40,50.27,0.00
2.10,39.80,32.00,29.20,27.00,10.00,1.90,50.23,0.00
2.20,39.80,31.80,29.20,27.00,7.70,2.80,50.21,0.00
2.30,39.90,32.00,29.30,27.00,11.00,2.40,50.15,0.00
2.40,39.90,32.00,29.30,27.00,10.70,2.50,50.06,0.00
2.50,39.70,31.90,29.10,27.00,10.00,2.00,50.00,0.00
2.60,39.70,31.90,29.10,27.00,10.70,2.50,49.93,0.00
2.70,40.10,32.00,29.20,27.10,10.80,1.90,49.87,0.00
2.80,39.90,31.90,29.20,27.00,10.80,1.90,49.88,0.00
2.90,39.90,31.90,29.20,27.00,11.30,2.80,49.76,0.00
3.00,40.10,31.90,29.10,27.00,11.00,2.20,49.74,0.00
3.10,40.10,31.90,29.10,27.00,11.10,1.90,49.72,0.00
3.20,40.20,31.90,29.30,27.20,11.40,2.40,49.68,0.00
3.30,40.30,31.90,29.30,27.10,11.40,2.50,49.62,0.00
3.40,40.30,31.90,29.30,27.10,11.60,1.90,49.54,0.00
3.50,40.40,32.00,29.20,27.00,11.70,2.80,49.50,0.00
3.60,40.40,32.00,29.20,27.00,11.90,2.40,49.51,0.00
3.70,40.50,31.90,29.10,27.10,12.00,2.00,49.44,0.00
3.80,40.50,32.00,29.30,27.00,12.00,2.00,49.43,0.00
3.90,40.50,32.00,29.30,27.00,12.70,2.00,49.35,0.00
4.00,40.50,32.00,29.30,27.10,12.20,2.50,49.34,0.00
4.10,40.50,32.00,29.30,27.10,12.20,2.00,49.27,0.00
4.20,40.50,32.00,29.30,27.10,12.70,2.40,49.21,0.00
4.30,40.60,32.00,29.20,27.00,13.10,2.40,49.22,0.00
4.40,40.60,31.90,29.30,27.00,12.80,2.00,49.18,0.00
4.50,40.60,31.90,29.30,27.00,13.10,1.70,49.11,0.00
4.60,40.70,31.90,29.20,27.10,13.70,1.90,49.05,0.00
4.70,40.60,31.90,29.20,27.00,13.70,1.90,49.05,0.00
4.80,40.60,31.90,29.20,27.00,13.60,2.20,49.65,0.00
4.90,40.60,31.90,29.20,27.00,13.70,2.20,50.75,0.00
5.00,40.70,31.90,29.20,27.10,13.90,2.50,50.84,0.00
5.10,40.70,31.90,29.20,27.10,14.20,2.50,49.74,0.00
5.20,40.80,31.90,29.20,27.00,14.40,2.20,33.41,0.00
5.30,40.80,31.90,29.20,27.00,14.50,2.70,20.05,0.00
5.40,40.70,31.90,29.20,27.10,14.00,2.40,14.35,0.00
5.50,40.50,32.00,29.30,27.10,13.90,1.90,10.85,0.00
5.60,40.50,32.00,29.30,27.10,13.90,1.90,8.41,0.00
5.70,40.40,31.90,29.20,27.20,14.40,2.20,6.82,0.00
5.80,40.30,31.90,29.20,27.10,14.00,2.20,5.64,0.00
5.90,40.30,31.90,29.20,27.10,13.70,2.50,4.85,0.00
