Time(s),T1(DegC),Wall Temp(DegC),Top Plate(DegC),Bottom Plate(DegC),P1(PSI),P2(PSI),Mass Flowrate(g/min),Heater Energy (kJ),
0,30.3,29.4,28.1,26.6,48.2,1.7,0,0,
0.1,30.3,29.5,28.1,26.6,48.4,2,0,0,
0.2,30.3,29.5,28.1,26.6,47.1,2.2,0,0,
0.3,30.3,29.6,28,26.6,48.1,2,0,0,
0.4,30.3,29.5,28,26.5,48.1,2,0,0,
0.5,30.3,29.5,28,26.5,48.2,1.9,0,0,30.29090909
0.6,30.3,29.5,28,26.5,47.7,2,0,0,30.28181818
0.7,30.3,29.6,28,26.5,47.7,2,0,0,30.29090909
0.8,30.3,29.6,28,26.5,47.9,2,0,0,30.28181818
0.9,30.3,29.5,28,26.6,47.9,1.9,0,0,30.27272727
1,30.2,29.5,28.1,26.5,47.6,1.9,0,0,30.27272727
1.1,30.2,29.5,28.1,26.5,47.7,1.9,0,0,30.27272727
1.2,30.4,29.5,28.1,26.5,47.4,2,0,0,30.27272727
1.3,30.2,29.4,28,26.6,48.2,2.2,0,0,30.26363636
1.4,30.2,29.4,28,26.6,48.2,2.5,0,0,30.26363636
1.5,30.3,29.5,28,26.5,47.9,2,0,0,30.26363636
1.6,30.3,29.4,27.9,26.5,47.9,2,0,0,30.26363636
1.7,30.3,29.4,27.9,26.5,48.2,1.6,0,0,30.27272727
1.8,30.2,29.6,28.1,26.6,47.9,1.7,0,0,30.26363636
1.9,30.3,29.5,28,26.6,48.1,2.2,0,0,30.26363636
2,30.3,29.5,28,26.6,47.7,1.7,0,0,30.26363636
2.1,30.2,29.5,28,26.4,47.9,1.9,0,0,30.25454545
2.2,30.3,29.6,28.2,26.6,47.7,1.6,0,0,30.24545455
2.3,30.3,29.6,28.2,26.6,47.9,2.5,0,0,30.23636364
2.4,30.2,29.5,28,26.5,47.6,2,0,0,30.24545455
2.5,30.2,29.5,28,26.5,47.6,2,0,0,30.24545455
2.6,30.2,29.5,28.1,26.6,47.9,2.2,0,0,30.24545455
2.7,30.2,29.4,28,26.4,47.6,2,0,0,30.24545455
2.8,30.2,29.4,28,26.4,48.4,1.4,0,0,30.23636364
