Time(s),T1(DegC),Wall Temp(DegC),Top Plate(DegC),Bottom Plate(DegC),P1(PSI),P2(PSI),Mass Flowrate(g/min),Heater Energy (kJ),
0,38.1,35.9,34.5,31.3,38.8,3,0,0,
0.1,38,35.9,34.5,31.2,38.8,2.2,0,0,
0.2,38.1,36.1,34.6,31.4,38.7,2.5,0,0,
0.3,38.1,36.1,34.6,31.4,38.8,2.4,0,0,
0.4,37.9,35.9,34.4,31.3,38.8,2.4,0,0,
0.5,38.1,36.1,34.7,31.4,38.7,2.4,0,0,38.02727273
0.6,38.1,36.1,34.7,31.4,38.8,2,0,0,38.02727273
0.7,38,35.9,34.5,31.2,38.7,2.7,0,0,38.03636364
0.8,38,36,34.6,31.3,38.7,2.7,0,0,38.03636364
0.9,38,36,34.6,31.3,38.8,2.4,0,0,38.02727273
1,37.9,35.9,34.5,31.3,39,2.8,0,0,38.03636364
1.1,38.1,36,34.7,31.4,38.8,2.2,0,0,38.01818182
1.2,38.1,36,34.7,31.4,38.8,2,0,0,38.00909091
1.3,38.1,35.9,34.4,31.3,38.8,2,0,0,38.00909091
1.4,38,35.9,34.4,31.2,38.8,2,0,0,38.02727273
1.5,38,35.9,34.4,31.2,39,2.2,0,0,38.04545455
1.6,37.9,35.9,34.5,31.2,38.8,2.5,0,0,38.04545455
1.7,38,36,34.4,31.3,39.1,2.4,0,0,38.04545455
1.8,38,36,34.4,31.3,39.1,3,0,0,38.04545455
1.9,38.2,35.9,34.6,31.3,38.4,2.4,0,0,38.04545455
2,38.2,35.9,34.6,31.3,38.8,2.5,0,0,38.05454545
2.1,37.9,35.9,34.5,31.3,39,2.4,0,0,38.06363636
2.2,38.1,36,34.6,31.3,38.7,2.5,0,0,38.07272727
2.3,38.1,36,34.6,31.3,38.7,2.5,0,2,38.07272727
2.4,38.1,35.9,34.5,31.3,39,2.5,0,2,38.07272727
2.5,38.1,35.8,34.5,31.4,36.5,2.8,0,2,38.06363636
2.6,38.1,35.8,34.5,31.4,38.8,2.2,0,2,38.05454545
2.7,38,35.9,34.5,31.4,39.1,2.7,0,2,38.07272727
2.8,38,36,34.5,31.3,38.8,2.8,0,2,38.05454545
2.9,38,36,34.5,31.3,39,2.8,0,2,38.03636364
3,38.1,35.9,34.6,31.3,37.7,3,0,2,38.01818182
3.1,38.1,35.9,34.6,31.3,39,2.5,0,2,38.01818182
3.2,38.1,35.9,34.5,31.4,39.1,3.9,0,2,38.01818182
3.3,37.9,35.9,34.5,31.2,39.1,3.9,0,4,38.01818182
3.4,37.9,35.9,34.5,31.2,39,2.4,0,4,38.02727273
3.5,37.9,35.9,34.4,31.2,38.8,3.1,0,4,38.03636364
3.6,38.1,36.1,34.6,31.3,38.7,2.7,0,4,38.03636364
3.7,38.1,36.1,34.6,31.3,39,2.4,0,4,38.02727273
3.8,38,35.9,34.5,31.3,38.8,2.8,0,4,38.01818182
3.9,38.1,36,34.6,31.4,38.4,2.7,0,4,38.02727273
4,38.1,36,34.6,31.4,38.8,2.7,0,4,38.03636364
4.1,38.1,36,34.5,31.4,38.8,2.5,0,4,38.05454545
4.2,38,35.9,34.5,31.3,38.8,2.5,0,4,38.05454545
4.3,38,35.9,34.5,31.3,38.8,2,0,6,38.05454545
4.4,38,35.9,34.5,31.3,38.5,2.5,0,6,38.06363636
4.5,38,35.9,34.5,31.3,38.8,2.4,0,6,38.08181818
4.6,38.1,35.9,34.5,31.3,39.1,1.9,0,6,38.1
4.7,38.1,35.8,34.4,31.2,39.1,2.4,0,6,38.12727273
4.8,38.1,35.8,34.4,31.2,38.8,2.2,0,6,38.16363636
4.9,38.1,35.9,34.4,31.2,39,2.7,0,6,38.19090909
5,38.3,35.9,34.6,31.4,40,1.9,0,6,38.21818182
5.1,38.3,35.9,34.6,31.4,38.8,2.8,0,6,38.24545455
5.2,38.4,36,34.6,31.4,38.8,2.8,0,6,38.28181818
5.3,38.4,36,34.6,31.4,38.8,2.7,0,8,38.30909091
5.4,38.3,35.7,34.4,31.2,39,2.5,0,8,38.33636364
5.5,38.3,35.8,34.5,31.3,38.8,2.7,0,8,38.38181818
5.6,38.3,35.8,34.5,31.3,39.1,2.4,0,8,38.41818182
5.7,38.5,35.9,34.6,31.3,39.1,2.4,0,8,38.45454545
5.8,38.4,35.9,34.5,31.3,39,2.4,0,8,38.48181818
5.9,38.4,35.9,34.5,31.3,39.1,2.5,0,8,38.50909091
6,38.6,36,34.6,31.4,39.4,3.4,0,8,38.53636364
6.1,38.7,35.9,34.5,31.4,39.4,3.4,0,8,38.58181818
6.2,38.7,35.9,34.5,31.4,39.3,2.4,0,8,38.62727273
6.3,38.7,35.9,34.6,31.4,39.6,2.5,0,10,38.65454545
6.4,38.7,35.9,34.6,31.4,39,2.7,0,10,38.7
6.5,38.6,35.8,34.4,31.2,39.1,2.5,0,10,38.74545455
6.6,38.8,35.8,34.6,31.3,39.1,2.7,0,10,38.78181818
6.7,38.8,35.8,34.6,31.3,39,2.5,0,10,38.8
6.8,38.8,35.9,34.6,31.4,39,2.4,0,10,38.81818182
6.9,38.9,35.8,34.5,31.3,39.1,2.8,0,10,38.84545455
7,38.9,35.8,34.5,31.3,39,2.2,0,10,38.87272727
7.1,39,35.9,34.6,31.3,39,2.2,0,10,38.90909091
7.2,38.9,35.8,34.4,31.3,38.8,2.5,0,10,38.95454545
7.3,38.9,35.8,34.4,31.3,38.8,2.8,0,10,38.98181818
7.4,39,35.9,34.5,31.4,39.4,2.4,0,12,39.00909091
7.5,39,35.9,34.4,31.2,38.8,2.8,0,12,39.04545455
7.6,39,35.9,34.4,31.2,39.4,2.8,0,12,39.08181818
7.7,39.3,35.9,34.6,31.5,38.8,2.5,0,12,39.10909091
7.8,39.1,35.9,34.5,31.3,39.6,2.2,0,12,39.16363636
7.9,39.1,35.9,34.5,31.3,39.1,3,0,12,39.20909091
8,39.3,35.9,34.6,31.2,38.8,2.4,0,12,39.24545455
8.1,39.3,35.9,34.5,31.3,38.8,2.4,0,12,39.3
8.2,39.3,35.9,34.5,31.3,39,2.7,0,12,39.35454545
8.3,39.5,35.8,34.5,31.2,38.7,2.5,0,12,39.38181818
8.4,39.4,35.8,34.5,31.3,38.8,2.5,0,14,39.41818182
8.5,39.4,35.8,34.5,31.3,39.4,1.4,0,14,39.45454545
8.6,39.6,35.9,34.6,31.4,39,2.7,0,14,39.48181818
8.7,39.6,35.9,34.6,31.4,37.1,2.7,0,14,39.51818182
8.8,39.6,35.9,34.6,31.3,39,2.4,0,14,39.55454545
8.9,39.5,35.8,34.4,31.3,39.3,2.5,0,14,39.58181818
9,39.5,35.8,34.4,31.3,39.3,2.5,0,14,39.61818182
9.1,39.6,35.9,34.5,31.4,38.7,2.5,0,14,39.65454545
9.2,39.7,35.9,34.4,31.2,39.4,2.4,0,14,39.69090909
9.3,39.7,35.9,34.4,31.2,38.8,2.5,0,14,39.71818182
9.4,39.8,35.8,34.5,31.2,39.4,2,0,16,39.74545455
9.5,39.8,35.9,34.6,31.2,39.1,2.8,0,16,39.79090909
9.6,39.8,35.9,34.6,31.2,39.3,2.2,0,16,39.84545455
9.7,40,35.8,34.5,31.3,39.6,2.4,0,16,39.89090909
9.8,39.9,35.7,34.4,31.3,39,2.4,0,16,39.94545455
9.9,39.9,35.7,34.4,31.3,39,2.4,0,16,39.98181818
10,40,35.9,34.5,31.3,40.2,2.7,0,16,40.00909091
10.1,40.1,35.8,34.6,31.4,39.7,3,0,16,40.06363636
10.2,40.1,35.8,34.6,31.4,39.7,2.2,0,16,40.11818182
10.3,40.3,35.8,34.5,31.3,39.4,2.4,0,16,40.15454545
10.4,40.1,35.8,34.5,31.3,39.1,2.5,0,18,40.21818182
10.5,40.1,35.8,34.5,31.3,39.3,2.4,0,18,40.28181818
10.6,40.4,35.9,34.7,31.3,39.7,2.4,0,18,40.32727273
10.7,40.4,35.9,34.7,31.3,39.4,2.4,0,18,40.35454545
10.8,40.4,35.8,34.5,31.3,39,2.8,0,18,40.38181818
10.9,40.6,35.8,34.6,31.4,39,2.8,0,18,40.41818182
11,40.6,35.8,34.6,31.4,39.1,2.5,0,18,40.47272727
11.1,40.5,35.9,34.5,31.3,39.4,2.7,0,18,40.52727273
11.2,40.4,35.8,34.5,31.4,39.1,2.5,0,18,40.55454545
11.3,40.4,35.8,34.5,31.4,39.1,2.5,0,18,40.60909091
11.4,40.7,35.8,34.5,31.5,39.4,3.1,0,19.9,40.66363636
11.5,40.7,35.8,34.4,31.3,39,2.7,0,19.9,40.69090909
11.6,40.7,35.8,34.4,31.3,39,2.5,0,19.9,40.71818182
11.7,40.7,35.7,34.4,31.2,39.4,2.2,0,19.9,40.77272727
11.8,41,36,34.6,31.4,39.1,2.4,0,19.9,40.82727273
11.9,41,36,34.6,31.4,39.4,2.7,0,19.9,40.88181818
12,40.9,35.9,34.5,31.3,39.7,2.5,0,19.9,40.93636364
12.1,40.9,35.9,34.5,31.3,39.6,2.4,0,19.9,40.99090909
12.2,41.1,35.8,34.5,31.3,39.4,2.8,0,19.9,41.04545455
12.3,41,35.8,34.5,31.4,39.7,2.2,0,19.9,41.11818182
12.4,41,35.8,34.5,31.4,39.1,2,0,21.8,41.15454545
12.5,41.3,35.9,34.5,31.4,39.6,2.4,0,21.8,41.19090909
12.6,41.3,35.8,34.4,31.3,40.2,2.2,0,21.8,41.25454545
12.7,41.3,35.8,34.4,31.3,40.2,2.2,0,21.8,41.31818182
12.8,41.5,35.9,34.6,31.4,39.4,2.7,0,21.8,41.36363636
12.9,41.4,35.8,34.5,31.3,39.4,1.9,0,21.8,41.42727273
13,41.4,35.8,34.5,31.3,39.9,2.7,0,21.8,41.47272727
13.1,41.6,35.9,34.5,31.4,39.4,2.5,0,21.8,41.49090909
13.2,41.6,35.9,34.5,31.3,39.4,2.4,0,21.8,41.51818182
13.3,41.6,35.9,34.5,31.3,39.9,2,0,21.8,41.54545455
13.4,41.7,35.9,34.6,31.3,39.7,3.1,0,23.6,41.58181818
13.5,41.5,35.9,34.5,31.3,39.9,0.5,0,23.6,41.61818182
13.6,41.5,35.9,34.5,31.3,39.9,0.5,0,23.6,41.65454545
13.7,41.6,35.8,34.5,31.3,39.6,2.5,0,23.6,41.66363636
13.8,41.6,35.8,34.5,31.3,39.4,3,0,23.6,41.7
13.9,41.9,35.9,34.7,31.4,40.8,2,0,23.6,41.73636364
14,41.8,35.9,34.5,31.3,39.9,2.8,0,23.6,41.75454545
14.1,41.8,35.9,34.5,31.3,39.6,2.8,0,23.6,41.80909091
14.2,41.7,35.9,34.5,31.2,39.3,2.5,0,23.6,41.86363636
14.3,42,35.8,34.5,31.4,39.9,2.7,0,23.6,41.9
14.4,42,35.8,34.5,31.4,39.6,2.5,0,25.4,41.95454545
14.5,41.9,35.9,34.5,31.3,39.7,2.4,0,25.4,41.98181818
14.6,42.1,35.8,34.5,31.3,40,3,0,25.4,42.02727273
14.7,42.1,35.8,34.5,31.3,39.9,2.7,0,25.4,42.07272727
14.8,42,35.8,34.5,31.3,39.9,2.8,0,25.4,42.12727273
14.9,42.2,35.9,34.4,31.3,39.9,3.1,0,25.4,42.15454545
15,42.2,35.9,34.4,31.3,40,2,0,25.4,42.2
15.1,42.3,35.9,34.5,31.2,39.3,3,0,25.4,42.25454545
15.2,42.3,35.9,34.6,31.2,40.2,2.4,0,25.4,42.29090909
15.3,42.3,35.9,34.6,31.2,39.7,2,0,25.4,42.32727273
15.4,42.3,35.8,34.6,31.4,39.4,2.7,0,27.2,42.38181818
15.5,42.5,35.8,34.5,31.3,39.4,2.7,0,27.2,42.42727273
15.6,42.5,35.8,34.5,31.3,39.6,2.5,0,27.2,42.47272727
15.7,42.5,36,34.6,31.4,39.9,2.4,0,27.2,42.5
15.8,42.5,36,34.6,31.4,39.9,2.8,0,27.2,42.53636364
15.9,42.6,35.7,34.4,31.2,39.9,3,0,27.2,42.57272727
16,42.7,35.8,34.4,31.2,39.4,2.4,0,27.2,42.62727273
16.1,42.7,35.8,34.4,31.2,40,2.8,0,27.2,42.64545455
16.2,42.6,35.9,34.6,31.3,39.9,2.5,0,27.2,42.68181818
16.3,42.7,35.7,34.4,31.4,40.2,2.7,0,27.2,42.71818182
16.4,42.7,35.7,34.4,31.4,40.2,2.7,0,28.9,42.77272727
16.5,42.9,35.9,34.5,31.5,39.7,2.2,0,28.9,42.81818182
16.6,42.7,35.8,34.3,31.3,40.4,2.5,0,28.9,42.84545455
16.7,42.9,35.8,34.5,31.2,40,2.5,0,28.9,42.89090909
16.8,42.9,35.8,34.5,31.2,40,2.4,0,28.9,42.94545455
16.9,43.1,35.9,34.6,31.4,40.2,2.8,0,28.9,42.99090909
17,43.1,35.9,34.6,31.4,39.4,2.7,0,28.9,43.04545455
17.1,43,35.9,34.6,31.4,40,2.7,0,28.9,43.08181818
17.2,43.2,35.9,34.5,31.3,39.9,2.4,0,28.9,43.15454545
17.3,43.2,35.9,34.5,31.3,39.9,2.4,0,28.9,43.18181818
17.4,43.2,35.8,34.4,31.2,39.9,2.8,0,30.6,43.20909091
17.5,43.3,35.8,34.5,31.3,39.9,2.7,0,30.6,43.24545455
17.6,43.3,35.8,34.5,31.3,40,2.8,0,30.6,43.28181818
17.7,43.5,35.9,34.6,31.5,40.2,2.5,0,30.6,43.32727273
17.8,43.2,35.9,34.4,31.3,39.6,2.5,0,30.6,43.35454545
17.9,43.2,35.9,34.4,31.3,39.9,2.4,0,30.6,43.38181818
18,43.5,35.9,34.6,31.4,40,2,0,30.6,43.40909091
18.1,43.5,35.8,34.6,31.4,40,2.5,0,30.6,43.43636364
18.2,43.5,35.8,34.6,31.4,40,2.5,0,30.6,43.47272727
18.3,43.5,35.8,34.5,31.3,40.4,3.1,0,30.6,43.49090909
18.4,43.5,35.8,34.5,31.2,40.2,2.4,0,32.2,43.53636364
18.5,43.5,35.8,34.5,31.2,40.2,2.8,0,32.2,43.60909091
18.6,43.6,35.8,34.4,31.3,40,2.7,0,32.2,43.65454545
18.7,43.7,35.8,34.3,31.3,40,2.5,0,32.2,43.7
18.8,43.7,35.8,34.3,31.3,39.9,2.5,0,32.2,43.74545455
18.9,43.7,35.9,34.6,31.3,39.7,2.7,0,32.2,43.79090909
19,44,35.8,34.5,31.3,39.6,2.5,0,32.2,43.85454545
19.1,44,35.8,34.5,31.3,39.6,2.5,0,32.2,43.90909091
19.2,44,35.9,34.6,31.4,40.4,3,0,32.2,43.95454545
