Time(s),T1(DegC),Wall Temp(DegC),Top Plate(DegC),Bottom Plate(DegC),P1(PSI),P2(PSI),Mass Flowrate(g/min),Heater Energy (kJ),
0,36.3,36.1,32.9,29.6,69.4,2.5,0,0,
0.1,36.2,36.1,32.8,29.6,69.4,2.4,0,0,
0.2,36.2,36.1,32.8,29.6,69.3,2.2,0,0,
0.3,36.3,36.3,32.9,29.6,69.4,2.2,0,0,
0.4,36.2,36,32.8,29.6,69.3,2.5,0,0,
0.5,36.2,36,32.8,29.6,69.3,2.2,0,0,36.26363636
0.6,36.4,36.2,32.8,29.9,69,2.5,0,0,36.25454545
0.7,36.3,36.2,32.9,29.6,69.4,2.8,0,0,36.27272727
0.8,36.3,36.2,32.9,29.6,69.3,2.5,0,0,36.28181818
0.9,36.3,36.2,32.7,29.6,69.1,3.3,0,0,36.28181818
1,36.2,36.2,32.7,29.5,69.3,2.2,0,0,36.29090909
1.1,36.2,36.2,32.7,29.5,69.9,2.2,0,0,36.3
1.2,36.4,36.3,33,29.7,68.8,2.7,0,0,36.3
1.3,36.3,36.2,32.8,29.7,69.1,2.5,0,0,36.3
1.4,36.3,36.2,32.8,29.7,69.3,2.2,0,0,36.3
1.5,36.3,36.2,32.7,29.6,69.1,2.5,0,0,36.3
1.6,36.3,36.2,32.7,29.6,69.1,2.7,0,0,36.30909091
1.7,36.4,36.3,32.9,29.7,69.7,2.2,0,0,36.31818182
1.8,36.3,36.3,32.9,29.7,69,2.2,0,0,36.3
1.9,36.3,36.3,32.9,29.7,69.1,2.4,0,0,36.29090909
2,36.3,36.1,32.9,29.8,69.3,2.2,0,0,36.28181818
2.1,36.3,36.1,32.8,29.7,69.3,2.2,0,0,36.28181818
2.2,36.3,36.1,32.8,29.7,69.3,2.2,0,0,36.27272727
2.3,36.2,36.2,32.8,29.6,69.4,2.7,0,0,36.25454545
2.4,36.2,36.2,32.9,29.6,69.3,2.7,0,0,36.24545455
2.5,36.2,36.2,32.9,29.6,69.1,2.2,0,0,36.24545455
2.6,36.3,36.2,32.8,29.8,69.1,2.2,0,0,36.24545455
2.7,36.2,36.1,32.6,29.6,69.1,2.5,0,0,36.23636364
2.8,36.2,36.1,32.6,29.6,69.4,2.5,0,0,36.23636364
2.9,36.2,36.1,32.9,29.7,69,2.4,0,0,36.24545455
3,36.3,36.2,32.8,29.6,69.7,2.2,0,0,36.24545455
3.1,36.3,36.2,32.8,29.6,69.7,2.2,0,0,36.24545455
3.2,36.2,36.2,32.8,29.6,66.8,2.5,0,0,36.24545455
3.3,36.3,36.1,32.7,29.6,69.3,3,0,0,36.25454545
3.4,36.3,36.1,32.7,29.6,69.1,2.4,0,0,36.26363636
3.5,36.2,36.2,32.9,29.6,69.4,2.4,0,0,36.27272727
3.6,36.2,36.2,32.9,29.6,69.1,2.4,0,0,36.27272727
3.7,36.3,36.2,32.9,29.7,69.6,3.6,0,0,36.27272727
3.8,36.3,36.2,32.7,29.7,69.4,2,0,0,36.28181818
3.9,36.3,36.2,32.7,29.7,69,2.2,0,0,36.27272727
4,36.3,36.3,32.8,29.7,69,2.2,0,0,36.26363636
4.1,36.3,36.2,32.7,29.8,68.8,2.4,0,0,36.28181818
4.2,36.3,36.2,32.7,29.8,69,2.2,0,0,36.3
4.3,36.3,36.2,32.7,29.6,69,2.4,0,0,36.29090909
4.4,36.2,36.2,32.8,29.7,70.1,2,0,0,36.3
4.5,36.2,36.2,32.8,29.7,69.6,2.4,0,0,36.30909091
